year,Base case cost,Modeled residential ashp
2017,237366.558361,427491.895006
2018,256844.969026,437845.093474
2019,281930.708469,452073.129307
2020,297812.922358,460845.102005
2021,311247.351471,468275.013016
2022,323799.201011,475316.815413
2023,334183.665001,481089.719011
2024,344702.204459,487080.987351
2025,355983.814823,493714.596702
2026,368068.718735,501028.840463
2027,379029.707233,507703.756597
2028,390124.771197,514589.40885
2029,402719.161882,522643.164446
2030,412717.125525,528985.776843
2031,434400.085186,546069.562861
