year,Base case cost,Modeled non-residential ashp
2017,363839.56276,461909.420535
2018,383832.675943,477541.458661
2019,411023.309872,499561.04766
2020,423818.902309,508943.813551
2021,432615.872109,514848.052576
2022,439813.392855,519386.424711
2023,443812.015491,521148.783697
2024,447810.638128,522952.403738
2025,452608.985292,525500.883891
2026,458207.056983,528793.27976
2027,462205.67962,530714.970754
2028,466204.302256,532674.188462
2029,471802.373947,536079.185569
2030,474201.547529,536701.706477
2031,480599.343748,540882.007433
