year,Base case cost,Modeled residential ashp
2017,232229.400665,389008.997259
2018,259382.300665,385378.000151
2019,297046.000665,382606.354908
2020,312159.095213,375341.75554
2021,324294.155213,370927.873727
2022,330316.438438,362966.826482
2023,337177.798438,358407.644918
2024,338687.722987,350241.997873
2025,345476.202987,345836.934035
2026,349322.277535,337783.926545
2027,352169.79076,329654.377804
2028,353233.265309,321475.366359
2029,360624.245309,317280.674968
2030,360684.299857,309114.92065
2031,364663.713082,300890.488985
