year,Base case cost,Modeled non-residential ashp
2017,147565.27026,212694.053962
2018,161387.226171,226154.499161
2019,180328.425012,244600.294433
2020,190054.986579,254072.459573
2021,196198.078095,260054.879661
2022,201317.321025,265040.229735
2023,204388.866783,268031.439779
2024,207460.412541,271022.649823
2025,210531.958299,274013.859868
2026,214627.352643,278002.139927
2027,218210.822695,281491.884978
2028,221282.368453,284483.095022
2029,224865.838504,287972.840074
2030,227425.459969,290465.515111
2031,231520.854313,294453.79517
