year,Base case cost,Modeled residential ashp
2017,344671.990751,398435.703341
2018,369571.143486,421816.585943
2019,398850.462614,449333.324213
2020,414266.635349,463575.405389
2021,420654.954478,468987.20333
2022,429041.381759,476464.137087
2023,430630.680888,477262.693387
2024,434390.128169,480297.732739
2025,435847.051844,480992.102094
2026,442591.960032,486935.98315
2027,443895.653708,487504.005157
2028,447592.426442,490530.150397
2029,449526.336477,491727.9893
2030,453201.380118,494757.44187
2031,459092.013758,499936.454012
