year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,648990.0,129624.0,519366.0
2004,,640448.0,141229.0,499219.0
2005,,653119.0,138433.0,514686.0
2006,,629059.0,125921.0,503138.0
2007,,627491.0,120642.0,506849.0
2008,,622503.0,120799.0,501704.0
2009,,602936.0,120897.0,482039.0
2010,,677830.0,140772.0,537058.0
2011,,520455.0,140986.0,379469.0
2012,,564450.0,157139.0,407311.0
2013,,557149.0,143064.0,414085.0
2014,start of forecast,543968.0,143680.0,400288.0
2015,,542929.0,142641.0,400288.0
2016,,542066.0,141778.0,400288.0
2017,,541131.0,140843.0,400288.0
2018,,540234.0,139946.0,400288.0
2019,,539393.0,139105.0,400288.0
2020,,538519.0,138230.0,400288.0
2021,,537574.0,137286.0,400288.0
2022,,536518.0,136230.0,400288.0
2023,,535348.0,135060.0,400288.0
2024,,534267.0,133979.0,400288.0
2025,,533275.0,132986.0,400288.0
2026,,532400.0,132111.0,400288.0
2027,,531483.0,131195.0,400288.0
2028,,530541.0,130253.0,400288.0
2029,,530082.0,129794.0,400288.0
2030,,529506.0,129218.0,400288.0
2031,,528813.0,128525.0,400288.0
2032,,527821.0,127533.0,400288.0
2033,,526773.0,126485.0,400288.0
2034,,525778.0,125490.0,400288.0
2035,,524905.0,124616.0,400288.0
2036,,524190.0,123902.0,400288.0
2037,,523608.0,123319.0,400288.0
2038,,523013.0,122724.0,400288.0
2039,,522325.0,122037.0,400288.0
2040,,521589.0,121300.0,400288.0
