year,Base case cost,Modeled solar power (pv)
2016,261689.555972,275527.400169
2017,314913.047385,327541.653806
2018,359498.674713,371157.639779
2019,416816.396467,427289.671799
2020,447511.099855,457286.746492
2021,472723.532622,481912.198988
2022,490713.947478,499423.698321
2023,505851.627684,514131.139331
2024,518632.570307,526529.384079
2025,532860.171045,540364.771388
2026,550195.268563,557279.888145
2027,568027.86617,574738.824855
2028,582187.830944,588552.161534
2029,599587.558383,605559.435094
2030,612415.094671,618075.199315
2031,630900.003573,636184.950104
2032,649978.605936,654897.052238
2033,670028.160134,674588.582004
2034,691059.187318,695252.535729
2035,706988.2083,710891.715779
