year,Base case cost,Modeled non-residential ashp
2017,159308.422458,239750.676641
2018,171746.855956,250820.321186
2019,189022.458038,266194.827498
2020,196969.234995,273267.100402
2021,208614.45397,284303.968731
2022,212885.844875,288119.096652
2023,215733.438812,290662.515266
2024,218225.083507,292888.006553
2025,221428.626686,295749.352494
2026,224988.119107,298928.625761
2027,227835.713044,301472.044375
2028,237081.053277,310451.2312
2029,240378.53126,313406.511945
2030,242576.849916,315376.699108
2031,246240.714341,318660.34438
