year,Base case cost,Modeled residential ashp
2017,143980.540044,406817.060088
2018,157466.726008,417255.160008
2019,168747.408928,425570.333989
2020,177345.855957,431254.480331
2021,183555.845478,434614.089864
2022,179283.319191,427554.451364
2023,182474.58163,428022.211637
2024,184754.054801,427640.256948
2025,178959.426958,419248.605512
2026,182432.209092,420186.346288
2027,185470.893459,420748.626434
2028,178219.554662,411077.166365
2029,181517.961857,412015.158348
2030,183167.165454,411355.618785
2031,176998.311702,402937.009925
