year,Base case cost,Modeled transmission and interties
2021,115174.501395,1021196.21542
2022,118338.636049,1010963.42479
2023,120553.530306,1000238.57028
2024,122452.011099,989314.593161
2025,124666.905356,978958.638984
2026,127604.597147,970066.600054
2027,129826.567744,960533.031099
2028,131731.11397,950770.979677
2029,134698.122024,942270.161644
2030,136290.298407,932781.805256
2031,139156.215897,924873.132805
2032,141703.69811,917186.189414
2033,145028.56676,910022.028624
2034,147903.582401,903104.910978
2035,149820.259495,895131.67957
2036,153014.721318,888473.999758
2037,155101.230559,881437.554825
2038,158305.801438,875234.372434
2039,160549.001054,868669.747725
2040,163753.571933,863371.189617
