year,Base case cost,Modeled residential ashp
2017,291543.333279,389460.002255
2018,313273.055227,404412.944774
2019,349542.535513,431420.826509
2020,361075.940075,438436.378119
2021,366886.199604,441084.140582
2022,375435.688444,447374.702946
2023,375641.493287,445773.366608
2024,373959.364843,442735.882279
2025,372909.640886,440104.909788
2026,380203.600925,445365.835999
2027,378812.642223,442393.628764
2028,376433.207999,438658.838654
2029,376173.53163,436366.128457
2030,372642.422658,431705.556246
2031,371907.984907,428938.084667
