year,Base case diesel consumed,Modeled transmission and interties
2021,32063.5319422,0.0
2022,31985.3282058,0.0
2023,31907.1244693,0.0
2024,31828.9207329,0.0
2025,31750.7169964,0.0
2026,31594.3095235,0.0
2027,31516.1057871,0.0
2028,31437.9020507,0.0
2029,31359.6983142,0.0
2030,31281.4945778,0.0
2031,31203.2908413,0.0
2032,31125.0871049,0.0
2033,31046.8833684,0.0
2034,31046.8833684,0.0
2035,30968.679632,0.0
2036,30890.4758955,0.0
2037,30890.4758955,0.0
2038,30812.2721591,0.0
2039,30812.2721591,0.0
2040,30812.2721591,0.0
