year,Base case cost,Modeled non-residential ashp
2017,113087.502589,142923.459128
2018,123554.293,152251.331779
2019,137858.906561,164999.424401
2020,144836.766835,171218.006168
2021,149721.269027,175571.013405
2022,153210.199164,178680.304289
2023,156001.343274,181167.736996
2024,158094.701356,183033.311526
2025,160536.952452,185209.815144
2026,163676.989575,188008.176939
2027,166119.240671,190184.680558
2028,168212.598753,192050.255088
2029,171352.635876,194848.616883
2030,173097.100945,196403.262325
2031,176237.138068,199201.62412
