year,Base case cost,Buckland (hunter creek)
2021,612726.428295,3312567.08226
2022,630680.036346,3327210.65765
2023,645969.219353,3340092.54418
2024,658724.755296,3351042.60776
2025,671746.716448,3361958.18449
2026,686900.20281,3374102.55025
2027,697629.079832,3382725.04286
2028,706288.529169,3389278.10777
2029,717987.905119,3398570.18724
2030,720893.700522,3399971.42234
2031,733920.456803,3410289.97008
2032,748329.498248,3421689.89093
2033,761416.003904,3432068.18804
2034,773578.79181,3441221.85535
2035,780759.872529,3446597.46371
2036,791894.002272,3454722.47285
2037,797096.894217,3458119.89243
2038,807713.489891,3466028.27957
2039,815962.743134,3471870.23633
2040,829146.090255,3481743.55079
2041,826635.001647,3479232.46218
2042,824123.91304,3476721.37357
2043,821612.824433,3474210.28497
2044,819101.735826,3471699.19636
2045,815083.994054,3467681.45459
2046,815083.994054,3467681.45459
2047,812572.905447,3465170.36598
2048,812070.687725,3464668.14826
2049,809559.599118,3462157.05965
2050,809057.381397,3461654.84193
