year,Base case cost,Modeled residential ashp
2017,696834.073694,600361.853356
2018,736141.672662,640243.043493
2019,797937.604683,702792.838192
2020,822963.084135,728178.860664
2021,850694.986137,756156.587452
2022,863366.64877,769008.521595
2023,883525.981719,789298.961097
2024,901554.746451,807426.055743
2025,909820.797281,815806.824807
2026,932905.312982,839055.223699
2027,941272.496571,847537.125522
2028,949639.680161,856019.027345
2029,959202.175691,865712.629428
2030,953512.78024,860105.175573
2031,964140.559879,870880.450083
