year,Base case cost,Buckland/deering/noorvik wind farm construction,Modeled wind power
2017,451074.986809,792051.387687,
2018,498114.643685,830741.287978,
2019,561207.23254,882859.911037,719245.833341
2020,589690.992483,906095.252556,746193.200991
2021,612726.428295,925552.22126,768181.096604
2022,630680.036346,940881.620099,785366.508509
2023,645969.219353,954262.287316,800097.00341
2024,658724.755296,965586.436415,812433.523273
2025,671746.716448,976938.44625,824966.632332
2026,686900.20281,989706.287875,839421.758562
2027,697629.079832,998765.21358,849661.783491
2028,706288.529169,1005754.7116,857832.380734
2029,717987.905119,1015545.57176,868973.068578
2030,720893.700522,1017258.54479,871529.683914
2031,733920.456803,1028138.22081,883927.916076
2032,748329.498248,1040161.61752,897638.597388
2033,761416.003904,1051101.04291,910096.578925
2034,773578.79181,1060878.18608,921561.006698
2035,780759.872529,1066627.87995,928323.071337
2036,791894.002272,1075376.36496,938758.840948
2037,797096.894217,,943542.716813
2038,807713.489891,,953530.788367
