year,Base case cost,Modeled non-residential ashp
2017,20534.9273156,30502.4401942
2018,22458.3667502,32372.0647128
2019,25094.1911605,34934.1427567
2020,26447.7226145,36249.804455
2021,27302.5845854,37080.7486855
2022,28014.9695612,37773.2022109
2023,28442.4005467,38188.6743261
2024,28869.8315322,38604.1464413
2025,29297.2625176,39019.6185566
2026,29867.1704982,39573.5813769
2027,30365.8399813,40058.2988447
2028,30793.2709667,40473.7709599
2029,31291.9404498,40958.4884277
2030,31648.1329377,41304.7151904
2031,32218.0409183,41858.6780107
