year,annotation,diesel generation efficiency
2002,,10.47
2003,,8.37
2004,,11.36
2005,,10.91
2006,,10.21
2007,,10.54
2008,,10.58
2009,,10.82
2010,,10.61
2011,,10.91
2012,,11.44
2013,,11.68
2014,,12.16
2015,,12.22
2016,start of forecast,12.02
2017,,12.02
2018,,12.02
2019,,12.02
2020,,12.02
2021,,12.02
2022,,12.02
2023,,12.02
2024,,12.02
2025,,12.02
2026,,12.02
2027,,12.02
2028,,12.02
2029,,12.02
2030,,12.02
2031,,12.02
2032,,12.02
2033,,12.02
2034,,12.02
2035,,12.02
2036,,12.02
2037,,12.02
2038,,12.02
2039,,12.02
2040,,12.02
