year,Base case cost,Modeled non-residential ashp
2017,156204.871398,240962.461042
2018,168042.739816,251852.318826
2019,184888.937179,267825.375698
2020,193084.384545,275085.910395
2021,198548.016122,279611.243262
2022,203101.042436,283240.167319
2023,205832.858225,285052.461538
2024,208109.371382,286427.106952
2025,211296.489802,288743.097078
2026,214938.910854,291540.086187
2027,217670.726642,293438.064751
2028,220402.542431,295356.224144
2029,223589.660851,297753.929227
2030,225866.174008,299251.204535
2031,229508.59506,302146.78827
