year,Base case cost,Modeled residential ashp
2017,301724.279899,700954.413415
2018,317319.253045,710243.287987
2019,349130.343306,735956.035911
2020,356251.518014,737028.150588
2021,357741.330175,732581.869141
2022,365944.915997,734979.611979
2023,361960.968069,725306.447812
2024,356959.658489,714744.824729
2025,362426.364266,714792.471138
2026,359373.92245,706453.990975
2027,354523.161013,696431.722023
2028,358972.505137,695831.492115
2029,354488.995221,686422.64832
2030,348325.367526,675439.642528
2031,353942.621447,676366.571321
