year,Base case cost,Modeled residential ashp
2017,11394124.8143,18450415.0917
2018,12330365.821,19071583.7452
2019,13574341.9559,19937739.0623
2020,14340100.7335,20451838.8226
2021,14860436.1837,20761553.8246
2022,15280398.2933,20992959.1125
2023,15619588.0159,21160856.7218
2024,15915643.992,21298088.1124
2025,16246463.2641,21468305.3485
2026,16645334.6886,21700003.4612
2027,17094556.5345,21989587.5054
2028,17404091.3475,22151678.8967
2029,17792110.161,22385485.3438
2030,18110009.7886,22565964.5746
2031,18539844.6351,22842036.4058
