year,Base case cost,Modeled residential energy efficiency
2017,457683.800792,455906.712831
2018,477604.867107,469452.130469
2019,514578.111726,498315.243215
2020,524164.948354,503207.820552
2021,527936.030829,503285.059315
2022,536664.584349,508997.42426
2023,534735.637078,504407.20211
2024,530887.39249,498251.823758
2025,527695.019989,492622.778642
2026,535160.148279,497359.983511
2027,531635.068103,491458.910256
2028,527106.942616,484745.044206
2029,524763.416654,479761.443343
2030,519073.124794,472102.898302
2031,516266.701199,466711.587519
2032,523080.879692,470967.506429
2033,519883.886219,465238.256876
2034,527310.540145,469997.073612
2035,531766.532501,472453.928317
2036,528805.910133,466874.485301
