year,Base case cost,Modeled transmission and interties
2021,119757.368781,1950857.25115
2022,122559.236347,1924507.7388
2023,125041.448728,1898455.18411
2024,126583.452831,1872526.12702
2025,128424.791739,1847232.28678
2026,130871.052681,1823152.86808
2027,132688.944999,1799379.4051
2028,134531.847013,1776156.94004
2029,136946.845835,1753850.01523
2030,138125.427784,1730923.68798
2031,140515.41691,1710020.81821
2032,142891.338082,1689356.70702
2033,145627.555194,1669791.92059
2034,148285.617004,1650454.9419
2035,150105.072428,1631034.15792
2036,152742.81386,1612683.64106
2037,154557.579965,1593947.47695
2038,157582.19014,1577144.01086
2039,159588.436735,1559606.63221
2040,162906.910845,1543709.26853
