year,Base case cost,Modeled residential ashp
2017,291543.333279,491273.507066
2018,313273.055227,502572.008615
2019,349542.535513,526008.441716
2020,361075.940075,529540.802832
2021,366886.199604,528788.268631
2022,375435.688444,531759.06292
2023,375641.493287,526916.166678
2024,373959.364843,520713.508257
2025,372909.640886,514991.28632
2026,380203.600925,517232.922614
2027,378812.642223,511312.596513
2028,376433.207999,504698.973981
2029,376173.53163,499594.190513
2030,372642.422658,492188.313789
2031,371907.984907,486738.94544
