year,Base case cost,Modeled residential ashp
2017,1164935.10113,2314577.03831
2018,1313262.74117,1697791.59113
2019,1515784.43789,901717.65146
2020,1616948.52396,460888.388101
2021,1686250.45364,129226.28114
2022,1747124.08588,-168499.135992
2023,1784299.72196,-388469.723593
2024,1820833.60458,-606290.324473
2025,1855819.84305,-822932.253596
2026,1899968.09342,-1067187.37768
2027,1937941.57451,-1295298.44146
2028,1970539.2643,-1506527.4092
2029,2012227.69088,-1745623.69183
2030,2034881.16139,-1922458.22497
2031,2079225.6109,-2173831.14401
