year,Base case cost,Chikuminuk lake
2021,13806263.7142,18573708.7443
2022,14199004.1837,18259313.8359
2023,14496093.4717,17946683.605
2024,14729499.9391,17637858.8523
2025,14995807.6737,17340030.3677
2026,15327054.678,17055317.5078
2027,15632883.2517,16782388.7302
2028,15867461.2927,16504972.0466
2029,16168933.6441,16242100.8761
2030,16375126.2353,15980109.8745
2031,16709185.0162,15733836.1071
2032,17075477.6663,15496693.4565
2033,17407454.4558,15261447.0
2034,17772376.0384,15035735.3356
2035,18012780.028,14810623.461
2036,18382757.15,14602176.3229
2037,18626564.1437,14392390.2935
2038,19001985.6368,14201030.9254
2039,19310124.7132,14007477.2329
2040,19715319.4084,13827259.9517
2041,19742312.7531,13631020.4232
2042,19779483.9162,13450190.7337
2043,19802052.1224,13259867.4802
2044,19822407.7593,13072321.3025
2045,19842763.3963,12889647.8239
2046,19865331.6024,12713945.4092
2047,19887457.2948,12542447.4492
2048,19908697.9594,12374602.5141
2049,19952506.8302,12233757.4797
2050,19975075.0364,12075999.6066
2051,19975075.0364,11899899.9201
2052,19975075.0364,11727927.5692
2053,19975075.0364,11559985.8218
2054,19975075.0364,11395980.2079
2055,19975075.0364,11235818.4757
2056,19975075.0364,11079410.5342
2057,19975075.0364,10926668.4033
2058,19975075.0364,10777506.1675
2059,19975075.0364,10631839.9205
2060,19975075.0364,10489587.7257
2061,19975075.0364,10350669.5679
2062,19975075.0364,10215007.3032
2063,19975075.0364,10082524.6233
2064,19975075.0364,9953147.00651
2065,19975075.0364,9826801.67877
2066,19975075.0364,9703417.56674
2067,19975075.0364,9582925.27209
2068,19975075.0364,9465257.01463
2069,19975075.0364,9350346.60816
2070,19975075.0364,9238129.41393
