year,Base case cost,Modeled residential ashp
2017,36925.6571755,316282.160762
2018,41157.3100622,309120.292789
2019,47120.0936752,300261.282047
2020,49909.1376232,294701.392773
2021,50642.2094301,288702.598825
2022,52049.076484,284604.833427
2023,53080.7789903,280969.337684
2024,53924.8992226,277593.928563
2025,53469.0042307,272782.271002
2026,54657.3127108,269088.884694
2027,55662.8045016,265656.276216
2028,55013.0410957,261010.711967
2029,56170.3732756,257448.25483
2030,56793.5521418,254568.126504
2031,56399.813668,249556.310056
