year,Base case cost,Modeled residential ashp
2017,113535.407073,235742.87694
2018,119756.312492,231266.71952
2019,133811.502492,231731.445905
2020,135831.447911,225545.611599
2021,140221.887911,223860.8101
2022,138371.070769,216585.372781
2023,140482.230769,214512.544095
2024,136919.806188,206822.610364
2025,138946.966188,204777.417037
2026,135776.069046,196996.631448
2027,138043.019046,195001.99277
2028,133934.534465,186978.986487
2029,129949.507323,178833.902433
2030,131428.707323,176793.431955
2031,127463.842742,168469.639593
