year,Base case cost,Modeled transmission and interties
2021,469952.211266,169314.51191
2022,481080.405704,167812.003116
2023,488784.540315,165760.544602
2024,493022.117902,163322.417745
2025,500698.932887,161628.460865
2026,510081.706757,160008.446869
2027,515915.964725,157982.327877
2028,521865.572226,156291.87913
2029,528470.850757,154598.993472
2030,533552.301245,152625.7632
2031,540922.529313,151258.911183
2032,550205.13122,150031.952354
2033,559487.733127,149074.103106
2034,566724.398577,147872.158056
2035,572610.260283,146617.792117
2036,582700.308923,145833.226472
2037,588586.170629,144488.419924
2038,595677.131406,143491.132726
2039,603217.348259,142457.557753
2040,613270.97073,142297.002541
