year,Base case cost,Modeled transmission and interties
2021,108446.683859,906514.969628
2022,111033.881088,908318.697377
2023,112758.679241,909521.182543
2024,114267.877625,910423.046417
2025,115992.675778,911625.531583
2026,118148.673469,912978.327395
2027,119873.471621,914180.812561
2028,121382.670005,915232.987082
2029,123323.067927,916585.782893
2030,124616.666542,917337.336122
2031,126557.064464,918840.44258
2032,128713.062155,920193.238392
2033,130869.059846,921696.344849
2034,133240.657306,923199.451307
2035,134534.25592,924101.315181
2036,136905.853381,925604.421639
2037,138199.451995,926506.285513
2038,140571.049455,928159.702617
2039,142295.847608,929211.877137
2040,144667.445068,930865.29424
