year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,854.17,154994.0,154994.0
2004,,854.17,163887.0,163887.0
2005,,854.17,151048.0,151048.0
2006,,854.17,137833.0,137833.0
2007,,854.17,99630.0,99630.0
2008,,854.17,93706.0,93706.0
2009,,854.17,93430.0,93430.0
2010,,854.17,99999.0,99999.0
2011,,854.17,90033.0,90033.0
2012,,854.17,79707.0,79707.0
2013,,854.17,36295.0,36295.0
2014,start of forecast,854.17,74000.0,74000.0
2015,,854.17,74000.0,74000.0
2016,,854.17,74000.0,74000.0
2017,,854.17,74000.0,74000.0
2018,,854.17,74000.0,74000.0
2019,,854.17,74000.0,74000.0
2020,,854.17,74000.0,74000.0
2021,,854.17,74000.0,74000.0
2022,,854.17,73000.0,73000.0
2023,,854.17,73000.0,73000.0
2024,,854.17,73000.0,73000.0
2025,,854.17,73000.0,73000.0
2026,,854.17,73000.0,73000.0
2027,,854.17,73000.0,73000.0
2028,,854.17,73000.0,73000.0
2029,,854.17,73000.0,73000.0
2030,,854.17,72000.0,72000.0
2031,,854.17,72000.0,72000.0
2032,,854.17,72000.0,72000.0
2033,,854.17,72000.0,72000.0
2034,,854.17,72000.0,72000.0
2035,,854.17,72000.0,72000.0
2036,,854.17,71000.0,71000.0
2037,,854.17,71000.0,71000.0
2038,,854.17,71000.0,71000.0
2039,,854.17,71000.0,71000.0
2040,,854.17,71000.0,71000.0
