year,Base case cost,Modeled non-residential ashp
2017,354781.5667,416926.089705
2018,384029.302119,445667.000326
2019,420386.430396,481567.19142
2020,436019.293254,496688.329978
2021,445473.418673,505627.796205
2022,445562.92695,505205.918693
2023,447586.962369,506721.535727
2024,442517.600646,501152.945833
2025,444061.343504,502212.880555
2026,440422.991781,498105.855744
2027,441466.8172,498689.343183
2028,441319.012619,498089.263957
2029,435676.750896,492009.047143
2030,427763.129173,483661.748248
2031,429715.392031,485203.923638
