year,Base case cost,Modeled residential ashp
2017,354781.5667,951385.41861
2018,384029.302119,973285.481622
2019,420386.430396,1002369.97414
2020,436019.293254,1011068.10368
2021,445473.418673,1013788.19497
2022,445562.92695,1007323.96801
2023,447586.962369,1002970.92749
2024,442517.600646,991680.921452
2025,444061.343504,987140.307362
2026,440422.991781,977550.496401
2027,441466.8172,972789.123419
2028,441319.012619,966979.14876
2029,435676.750896,955797.915002
2030,427763.129173,942490.446571
2031,429715.392031,939140.957295
