year,Base case cost,Modeled non-residential ashp
2017,348862.972857,422185.901667
2018,371088.891273,444001.712953
2019,400301.929688,472984.417812
2020,414259.407312,486386.98386
2021,429940.814558,501418.742448
2022,437020.782181,507825.824041
2023,441518.409805,511612.464987
2024,445377.12822,514764.826566
2025,450512.405051,519241.1176
2026,455647.041883,523734.91281
2027,468086.069129,535550.817348
2028,471997.526752,538827.6645
2029,477204.962791,543446.179542
2030,480452.789622,546078.400309
2031,486321.616453,551405.31914
