year,Base case cost,Modeled residential ashp
2017,348862.972857,454087.999009
2018,371088.891273,475032.564178
2019,400301.929688,503133.460804
2020,414259.407312,515734.965993
2021,429940.814558,530004.055709
2022,437020.782181,535673.346672
2023,441518.409805,538749.297515
2024,445377.12822,541209.816843
2025,450512.405051,545004.869941
2026,455647.041883,548832.902278
2027,468086.069129,559998.156305
2028,471997.526752,562644.353272
2029,477204.962791,566641.388247
2030,480452.789622,568674.066669
2031,486321.616453,573404.70346
