year,Base case cost,Modeled solar power (pv)
2016,346215.955745,362051.779299
2017,402983.493048,417439.311065
2018,445179.8758,458538.242056
2019,501062.885403,513113.894303
2020,527491.047798,538764.403069
2021,546875.887334,557501.705608
2022,562507.278808,572567.45874
2023,573440.878613,583015.406075
2024,582258.490765,591403.245384
2025,592201.389637,600904.792131
2026,604990.030208,613218.92429
2027,616434.308305,624221.442959
2028,625115.091573,632513.980996
2029,638068.225884,645024.370488
2030,645419.600655,652028.08269
2031,658477.4128,664662.976449
2032,671595.04085,677367.615972
2033,684772.484805,690141.789144
2034,699440.092504,704395.126166
2035,708808.010985,713439.793802
