year,Base case cost,Modeled non-residential ashp
2017,677371.12541,828615.774341
2018,716828.472329,862744.329405
2019,769438.268221,909264.316116
2020,793112.676373,928735.014145
2021,810210.860038,942106.949213
2022,823363.309011,951843.577879
2023,832570.023292,957943.444345
2024,839146.247779,961637.600581
2025,847037.717162,966622.079195
2026,857559.676341,974127.998011
2027,866766.390622,980456.61202
2028,873342.615109,984374.15453
2029,883864.574287,992041.731112
2030,889125.553876,994830.79305
2031,899647.513055,1002599.92538
