year,Base case cost,"Jade creek, east fork"
2021,485266.588762,880217.028567
2022,496400.812596,880161.850247
2023,504751.480472,878005.979343
2024,511246.444375,874517.433313
2025,518669.260264,872010.638311
2026,527947.780126,871253.849288
2027,535879.464839,869503.87575
2028,541945.297198,866391.745671
2029,550282.917155,865431.71432
2030,555841.33046,862341.87975
2031,565105.352634,862519.760418
2032,573919.946503,862424.909576
2033,583176.719833,862944.7937
2034,592894.51962,863939.507716
2035,598899.461692,862004.756824
2036,609065.9649,863773.440752
2037,614611.330286,861851.464075
2038,624287.811664,863440.324514
2039,631675.833104,863354.516395
2040,642253.345746,865985.528524
2041,642253.345746,860038.255923
2042,641748.826228,853725.853007
2043,641244.306711,847549.572304
2044,641244.306711,842010.74306
2045,640739.787193,836097.210616
2046,640739.787193,830814.971427
2047,640739.787193,825656.534738
2048,640235.267676,820114.479349
2049,640235.267676,815195.010741
2050,639730.748158,809886.322665
2051,639730.748158,805194.751813
2052,639730.748158,800613.139634
2053,639730.748158,796138.909027
2054,639730.748158,791769.543171
2055,639730.748158,787502.58433
2056,639730.748158,783335.632338
2057,639730.748158,779266.343272
2058,639730.748158,775292.428204
2059,639730.748158,771411.651742
2060,639730.748158,767621.830965
2061,639730.748158,763920.834144
2062,639730.748158,760306.579405
2063,639730.748158,756777.033772
2064,639730.748158,753330.211874
2065,639730.748158,749964.174895
2066,639730.748158,746677.02933
2067,639730.748158,743466.926299
2068,639730.748158,740332.060033
2069,639730.748158,737270.667226
2070,639730.748158,734281.025802
