year,annotation,diesel generation efficiency
2002,,13.59
2003,,13.72
2004,,13.88
2005,,13.85
2006,,13.64
2007,,14.11
2008,,13.56
2009,,14.13
2010,,13.84
2011,,13.7
2012,,13.85
2013,,13.83
2014,start of forecast,13.8
2015,,13.8
2016,,13.8
2017,,13.8
2018,,13.8
2019,,13.8
2020,,13.8
2021,,13.8
2022,,13.8
2023,,13.8
2024,,13.8
2025,,13.8
2026,,13.8
2027,,13.8
2028,,13.8
2029,,13.8
2030,,13.8
2031,,13.8
2032,,13.8
2033,,13.8
2034,,13.8
2035,,13.8
2036,,13.8
2037,,13.8
2038,,13.8
2039,,13.8
2040,,13.8
