year,annotation,consumption,consumption residential,consumption non-residential
2003,,2577048.0,826295.0,1750753.0
2004,,2526683.0,743488.0,1783195.0
2005,,2500507.0,686826.0,1813681.0
2006,,2538794.0,729166.0,1809628.0
2007,,2499194.0,715539.0,1783655.0
2008,,2521609.0,687701.0,1833908.0
2009,,2549415.0,637096.0,1912319.0
2010,,2576222.0,670228.0,1905994.0
2011,,2544931.0,710316.0,1834615.0
2012,,2565933.0,733073.0,1832860.0
2013,,2403357.0,646578.0,1756779.0
2014,,2294363.0,594372.0,1699991.0
2015,,2198214.0,556566.0,1641648.0
2016,start of forecast,2390163.0,690690.0,1699473.0
2017,,2391008.0,691535.0,1699473.0
2018,,2391778.0,692305.0,1699473.0
2019,,2392561.0,693088.0,1699473.0
2020,,2393201.0,693729.0,1699473.0
2021,,2393708.0,694236.0,1699473.0
2022,,2393821.0,694348.0,1699473.0
2023,,2393567.0,694094.0,1699473.0
2024,,2393381.0,693909.0,1699473.0
2025,,2393365.0,693892.0,1699473.0
2026,,2394148.0,694675.0,1699473.0
2027,,2394607.0,695135.0,1699473.0
2028,,2394899.0,695426.0,1699473.0
2029,,2395092.0,695619.0,1699473.0
2030,,2395772.0,696299.0,1699473.0
2031,,2395868.0,696396.0,1699473.0
2032,,2396552.0,697079.0,1699473.0
2033,,2396889.0,697416.0,1699473.0
2034,,2397205.0,697733.0,1699473.0
2035,,2397349.0,697877.0,1699473.0
2036,,2397413.0,697940.0,1699473.0
2037,,2397405.0,697933.0,1699473.0
2038,,2397330.0,697858.0,1699473.0
2039,,2397247.0,697774.0,1699473.0
2040,,2397103.0,697630.0,1699473.0
