year,annotation,consumption,consumption residential,consumption non-residential
2003,,764729.0,282445.0,482284.0
2004,,711427.0,265687.0,445740.0
2005,,816776.0,330055.0,486721.0
2006,,711367.0,274426.0,436941.0
2007,,1043765.0,254750.0,789015.0
2008,,1025533.0,252346.0,773187.0
2009,,869375.0,237393.0,631982.0
2010,,984094.0,238904.0,745190.0
2011,,857186.0,286649.0,570537.0
2012,,1005214.0,308215.0,696999.0
2013,,997055.0,319241.0,677814.0
2014,start of forecast,946538.0,298088.0,648450.0
2015,,959836.0,311386.0,648450.0
2016,,967806.0,319356.0,648450.0
2017,,976133.0,327683.0,648450.0
2018,,984581.0,336131.0,648450.0
2019,,995692.0,347242.0,648450.0
2020,,1003700.0,355250.0,648450.0
2021,,1011820.0,363370.0,648450.0
2022,,1019756.0,371306.0,648450.0
2023,,1025781.0,377331.0,648450.0
2024,,1033484.0,385034.0,648450.0
2025,,1044575.0,396125.0,648450.0
2026,,1053377.0,404927.0,648450.0
2027,,1062382.0,413932.0,648450.0
2028,,1072280.0,423830.0,648450.0
2029,,1080338.0,431888.0,648450.0
2030,,1089606.0,441156.0,648450.0
2031,,1098918.0,450468.0,648450.0
2032,,1108381.0,459931.0,648450.0
2033,,1117278.0,468828.0,648450.0
2034,,1131136.0,482686.0,648450.0
2035,,1140867.0,492417.0,648450.0
2036,,1150664.0,502214.0,648450.0
2037,,1160571.0,512121.0,648450.0
2038,,1170679.0,522229.0,648450.0
2039,,1184602.0,536152.0,648450.0
2040,,1198744.0,550294.0,648450.0
