year,Base case diesel consumed,Modeled solar power (pv)
2016,89919.2700376,88355.7679356
2017,90689.7864904,89138.7924052
2018,91460.3029432,89921.7168106
2019,92539.025977,91012.7485335
2020,93232.4907845,91718.4235606
2021,94003.0072373,92501.0525511
2022,94773.52369,93283.5846414
2023,95312.885207,93834.8656707
2024,96006.3500145,94540.1546345
2025,97085.0730483,95630.6072314
2026,97855.5895011,96412.7594107
2027,98703.1575991,97271.8701495
2028,99627.7773425,98207.9401924
2029,100398.293795,98989.8153423
2030,101245.861893,99848.651268
2031,102093.429991,100707.397051
2032,103018.049735,101643.105058
2033,103788.566187,102424.621068
2034,105098.444157,103745.410599
2035,106023.0639,104680.85461
