year,Base case cost,Modeled residential ashp
2017,363460.031847,407562.684968
2018,392635.184171,432850.471011
2019,430042.375099,465074.506898
2020,456556.690069,489256.402099
2021,475445.246694,506460.433335
2022,492356.126956,522075.524836
2023,507157.169154,535969.514902
2024,525216.582845,553381.034213
2025,539612.933234,566999.911346
2026,555890.645478,582240.992581
2027,571536.054095,596979.349066
2028,585623.162791,610418.563382
2029,607481.147384,631239.916966
2030,621024.060254,644264.514332
2031,638417.804634,660621.627704
