year,Base case cost,Modeled transmission and interties
2021,291378.667826,2268964.21534
2022,299890.853628,2277367.89764
2023,305129.121814,2282730.26521
2024,309712.606476,2287422.33684
2025,315605.658185,2293455.00036
2026,322992.434806,2301020.30564
2027,328900.833004,2306757.70649
2028,333496.253824,2311461.99705
2029,340061.140711,2318182.41214
2030,344000.072842,2321903.68847
2031,350564.959729,2328935.07629
2032,357786.335304,2336016.56016
2033,365007.710879,2343409.01676
2034,372229.086453,2350801.47336
2035,376824.507274,2355505.76392
2036,384702.371537,2363259.2893
2037,388641.303669,2367291.53836
2038,396519.167933,2375045.06374
2039,402427.56613,2381093.43732
2040,410305.430394,2389157.93543
