year,Base case cost,Modeled solar power (pv)
2016,189424.242447,199275.147752
2017,228246.166761,237458.43199
2018,258782.219887,267532.550871
2019,299102.991577,307234.168974
2020,320346.042868,328210.338638
2021,335855.85484,343561.169306
2022,348970.769375,356563.929833
2023,358720.682688,366261.943462
2024,368595.006258,376085.595515
2025,378593.740083,386034.869662
2026,390550.454374,397914.976604
2027,401420.059995,408723.666404
2028,410553.846324,417825.815652
2029,421999.589918,429213.176114
2030,430399.503841,437597.230163
2031,442713.897619,449841.984645
2032,456141.31887,463187.799008
2033,468400.912892,475380.916251
2034,481775.015462,488676.748743
2035,491710.803622,498588.689639
