year,Base case cost,Modeled residential ashp
2017,44880.2972064,175342.860817
2018,48171.5199318,174648.901644
2019,53299.0183476,175447.284817
2020,55981.7377402,174690.844256
2021,56896.9891542,172408.180924
2022,58619.1884087,171142.776971
2023,59346.7610069,169062.15987
2024,59983.3870304,166980.313651
2025,60710.9596286,165018.885937
2026,61620.4253763,163238.02701
2027,63031.6954762,162073.964841
2028,63675.302632,160226.499602
2029,64502.7975465,158557.648332
2030,65054.4608228,156753.516992
2031,65973.8996167,155250.573821
