year,Base case cost,Modeled transmission and interties
2021,1482630.80741,2495096.91052
2022,1517861.63847,2500416.95228
2023,1541348.85919,2498794.94743
2024,1563004.77432,2494911.11532
2025,1586508.60551,2493273.43699
2026,1615888.39451,2496295.55868
2027,1640550.80678,2497391.38465
2028,1661131.19324,2494510.1619
2029,1687591.69013,2497233.80133
2030,1705232.02138,2493573.76008
2031,1734632.57347,2498732.99567
2032,1764033.12557,2505260.54452
2033,1792167.12845,2510257.55198
2034,1821546.91744,2517531.21835
2035,1839509.07678,2515467.32527
2036,1873105.85173,2526036.38658
2037,1892058.41102,2526966.1895
2038,1924376.17891,2537276.12893
2039,1949256.60375,2542155.04564
2040,1982996.64411,2555162.47135
