year,Base case cost,Modeled residential ashp
2017,143673.754129,169166.341633
2018,164340.968231,185138.540423
2019,187260.511259,201798.063034
2020,198720.282773,210127.824339
2021,206360.130449,215680.998543
2022,212726.670179,220308.643713
2023,216546.594017,223085.230814
2024,219729.863881,225399.053399
2025,218888.350315,223340.313641
2026,223861.216179,226922.063856
2027,227590.865576,229608.376518
2028,231320.514974,232294.689179
2029,229967.446246,229724.394259
2030,226629.186899,225690.577088
2031,225476.445682,223146.720223
