year,annotation,consumption,consumption residential,consumption non-residential
2003,,1260470.0,572314.0,688156.0
2004,,1364592.0,597985.0,766607.0
2005,,1334901.0,553589.0,781312.0
2006,,1295145.0,535702.0,759443.0
2007,,1242575.0,505857.0,736718.0
2008,,1304636.0,539011.0,765625.0
2009,,1218782.0,528386.0,690396.0
2010,,1304100.0,555609.0,748491.0
2011,,1275589.0,501507.0,774082.0
2012,,1287538.0,517682.0,769856.0
2013,,1249099.0,490175.0,758924.0
2014,,1170339.0,475538.0,694801.0
2015,,1192043.0,461734.0,730309.0
2016,start of forecast,1235643.0,507631.0,728011.0
2017,,1232688.0,504677.0,728011.0
2018,,1229633.0,501622.0,728011.0
2019,,1226424.0,498412.0,728011.0
2020,,1223284.0,495273.0,728011.0
2021,,1220372.0,492361.0,728011.0
2022,,1217576.0,489565.0,728011.0
2023,,1214960.0,486948.0,728011.0
2024,,1212371.0,484359.0,728011.0
2025,,1209942.0,481931.0,728011.0
2026,,1207675.0,479664.0,728011.0
2027,,1205738.0,477727.0,728011.0
2028,,1204091.0,476079.0,728011.0
2029,,1201671.0,473660.0,728011.0
2030,,1199747.0,471735.0,728011.0
2031,,1198414.0,470403.0,728011.0
2032,,1198219.0,470208.0,728011.0
2033,,1198564.0,470552.0,728011.0
2034,,1199195.0,471184.0,728011.0
2035,,1199900.0,471889.0,728011.0
2036,,1200521.0,472510.0,728011.0
2037,,1201147.0,473136.0,728011.0
2038,,1202180.0,474168.0,728011.0
2039,,1203900.0,475888.0,728011.0
2040,,1206195.0,478183.0,728011.0
