year,Base case cost,Modeled non-residential ashp
2017,13730.8541432,63817.4231802
2018,14834.9778865,64597.3227094
2019,16417.5552519,66006.5860446
2020,17153.6377474,66343.4159692
2021,17705.6996191,66458.1936318
2022,18073.7408668,66350.5848289
2023,18368.173865,66162.0504402
2024,18588.9986137,65892.2716752
2025,18883.4316119,65729.9869519
2026,19214.6687349,65627.6299111
2027,19472.2976083,65443.1164495
2028,19729.9264817,65270.6814841
2029,20024.3594799,65157.3043994
2030,20208.3801038,64913.6590317
2031,20576.4213516,64917.5747446
