year,Base case cost,Modeled non-residential ashp
2017,1481287.29371,1379731.48806
2018,1622604.05287,1474231.50077
2019,1816409.89401,1605577.5049
2020,1913312.81457,1669192.66973
2021,1977914.76162,1710295.98622
2022,2026366.2219,1740190.47868
2023,2062704.81712,1761700.22021
2024,2090968.16895,1777649.33688
2025,2123269.14247,1796514.67692
2026,2167682.98106,1823946.80393
2027,2204021.57628,1845811.98466
2028,2232284.92811,1862108.20994
2029,2272661.14501,1886965.19357
2030,2292849.25346,1897770.33807
2031,2337263.09206,1925611.45923
