year,Base case cost,Modeled residential ashp
2017,86341.391206,135786.159654
2018,93019.5818081,141902.437896
2019,102418.516729,150510.5332
2020,107117.98419,154814.580852
2021,110086.068902,157532.926737
2022,112559.472829,159798.214975
2023,114290.855578,161383.916742
2024,115527.557541,162516.560861
2025,117258.94029,164102.262627
2026,119237.663431,165914.493218
2027,120969.04618,167500.194984
2028,122205.748143,168632.839103
2029,133771.015589,180031.613999
2030,135103.185996,181259.726561
2031,137234.658647,183224.706661
