year,Base case cost,Modeled non-residential ashp
2017,193279.049147,192314.653065
2018,216432.105022,208521.792178
2019,248267.556851,230806.608458
2020,263461.749769,241442.5435
2021,273591.211714,248533.166862
2022,282273.607667,254610.844029
2023,287338.33864,258156.15571
2024,292403.069613,261701.467391
2025,297467.800586,265246.779072
2026,303979.59755,269805.036948
2027,309767.861519,273856.821726
2028,314832.592492,277402.133407
2029,321344.389457,281960.391282
2030,324962.054437,284492.756768
2031,332197.384398,289557.487741
