year,Base case cost,Modeled residential ashp
2017,74061.9048607,20546.2292504
2018,80797.4332947,24862.2512584
2019,90227.1731024,31251.0739035
2020,94717.5253917,33893.6361227
2021,97860.7719943,35527.6692931
2022,106001.000525,42390.0685239
2023,107902.912826,43138.353202
2024,109329.347052,43534.9527851
2025,110993.520315,44132.5393375
2026,113133.171654,45115.0801546
2027,114797.344917,45744.7663704
2028,116223.779142,46205.5833361
2029,118363.430481,47234.596295
2030,126200.799174,54189.624845
2031,128459.443321,55366.8250853
