year,Base case cost,Modeled transmission and interties
2021,545133.002905,1493872.77127
2022,569485.174926,1515231.6266
2023,588799.672185,1531002.97353
2024,606829.170741,1544014.31173
2025,626753.35437,1559508.34021
2026,649474.050828,1580458.38158
2027,670633.837274,1599910.2038
2028,692443.532454,1619258.16788
2029,714577.829174,1640592.75454
2030,733852.104068,1657268.79614
2031,760185.756792,1682207.82229
2032,785470.805413,1710069.4639
2033,811733.186929,1735279.24496
2034,839683.496451,1764959.29898
2035,862858.635064,1790138.94407
2036,894233.490829,1822572.39645
2037,916477.164154,1846859.10803
2038,946489.399108,1880231.18274
2039,974729.027394,1912359.3753
2040,1009087.3947,1951689.48859
