year,Base case cost,Modeled non-residential ashp
2017,21047.7663566,54203.7046929
2018,23352.9780589,50645.9606713
2019,26714.7451247,45867.8724746
2020,28251.5529262,43251.6199425
2021,29404.1587774,41105.4224011
2022,30268.6131657,39316.0788046
2023,30844.9160913,37883.1535049
2024,31325.1685293,36580.7111103
2025,31805.4209672,35295.5812464
2026,32573.824868,33689.0934138
2027,33150.1277935,32324.625924
2028,33630.3802315,31089.0368639
2029,34302.7336447,29643.6836624
2030,34686.9355951,28551.9717971
2031,35455.3394958,27024.2565044
