year,Base case cost,Modeled residential ashp
2017,27917.5607088,147745.977368
2018,31643.9520317,136896.64536
2019,36964.2963616,122763.857821
2020,39495.2581995,114503.482492
2021,41527.6208926,107633.665383
2022,43181.9082021,101821.594327
2023,44004.0753721,96611.309987
2024,44689.2146805,91793.2838349
2025,45829.7740863,87506.762696
2026,46936.9997135,81907.0836613
2027,48242.0938153,77480.5838711
2028,49422.5381309,73451.6690135
2029,48937.0783926,66923.2985254
2030,48491.8291413,61856.8412245
2031,49058.3634845,56062.6595839
