year,Base case cost,Modeled solar power (pv)
2016,223653.113417,244170.19181
2017,274705.891886,294087.055365
2018,313213.799831,331645.944505
2019,368422.704103,385706.960728
2020,394226.380872,410763.314428
2021,413008.981449,428903.713511
2022,426165.088607,441502.550844
2023,436512.198673,451340.153034
2024,445238.079706,459585.724965
2025,454199.106234,468077.655904
2026,466018.708724,479404.788011
2027,476438.770555,489360.680982
2028,485455.042109,497940.431433
2029,496844.016704,508869.609129
2030,502788.523158,514431.378799
2031,515863.887586,527050.799783
2032,528312.433449,539070.13299
2033,542237.013084,552559.154558
2034,556212.588128,566109.10239
2035,565650.988343,575179.509795
