year,Base case cost,Modeled transmission and interties
2021,378566.342943,1899220.49187
2022,386909.164814,1907289.18978
2023,392131.828908,1912806.01802
2024,396284.038873,1916809.35282
2025,401377.096413,1921724.90913
2026,407074.984538,1927211.86641
2027,412001.633664,1931966.07741
2028,415880.229792,1935704.12331
2029,421936.536041,1941546.10711
2030,421638.920992,1941665.53391
2031,427468.015751,1947284.2139
2032,433181.904685,1952791.19329
2033,438780.587793,1958186.47209
2034,445961.750923,1965124.34755
2035,447766.642191,1966832.99888
2036,453032.508469,1972340.62258
2037,455423.029351,1974622.34475
2038,461284.125729,1980278.06353
2039,465329.130272,1984163.93031
2040,471076.620905,1989700.48361
