year,Base case cost,Modeled transmission and interties
2021,216893.367718,1014961.65349
2022,222067.762176,1019352.57846
2023,225517.358482,1022279.86178
2024,228535.755249,1024690.92404
2025,231985.351555,1027618.20736
2026,236297.346937,1031127.00086
2027,239746.943243,1034054.28418
2028,242765.34001,1036615.65709
2029,246646.135854,1039908.85082
2030,249233.333083,1041954.00266
2031,253114.128927,1045397.50704
2032,257426.124309,1048906.30055
2033,261738.119691,1052565.40469
2034,266481.314612,1056440.10861
2035,269068.511841,1058635.5711
2036,273811.706761,1062510.27502
2037,276398.90399,1064705.73751
2038,281142.098911,1068730.75207
2039,284591.695216,1071507.72475
2040,289334.890137,1075532.73931
