year,Base case cost,Modeled non-residential ashp
2017,64913.4064772,101765.324801
2018,70215.0087249,106492.405869
2019,77344.7496787,113007.12962
2020,80818.2132203,115976.426131
2021,83194.7935382,117888.722059
2022,85022.9322443,119277.076673
2023,86302.6293386,120141.271015
2024,87216.6986916,120658.852423
2025,88496.3957859,121540.656723
2026,90141.7206214,122786.479994
2027,91421.4177156,123685.078459
2028,92335.4870687,124236.257641
2029,93797.9980336,125328.633427
2030,94712.0673866,125895.453394
2031,96357.3922221,127180.864544
