year,Base case cost,Modeled transmission and interties
2021,874312.588253,1668204.27148
2022,896275.208888,1684795.66557
2023,911214.168966,1693651.77725
2024,922734.944125,1697222.78432
2025,936850.469675,1703928.64138
2026,954442.404701,1715543.74731
2027,969115.338185,1724965.69114
2028,980480.796144,1729109.60591
2029,996506.493993,1740935.58176
2030,1005091.49659,1742707.90067
2031,1022552.31432,1754900.76015
2032,1040186.34064,1767204.98228
2033,1057224.45291,1779153.92491
2034,1075980.22412,1794069.21237
2035,1086172.07285,1798498.2646
2036,1104223.16833,1813087.98035
2037,1114204.69852,1817666.97805
2038,1131796.30605,1832324.65068
2039,1144550.84547,1841513.17606
2040,1164456.62928,1856480.74873
