year,Base case diesel consumed,St. mary's-pitka's point wind energy construction project,Modeled wind power
2017,239124.021816,217827.661523,
2018,238744.821021,217448.460727,
2019,238289.780066,216993.419772,143146.701405
2020,237834.739111,216538.378817,142691.66045
2021,237379.698156,216083.337863,142236.619495
2022,236924.657201,215628.296908,141781.57854
2023,236469.616246,215173.255953,141326.537585
2024,235938.735132,214642.374839,140795.656471
2025,235483.694177,214187.333884,140340.615516
2026,234952.813063,213656.45277,139809.734402
2027,234497.772108,213201.411815,139354.693447
2028,233966.890994,212670.530701,138823.812333
2029,233436.00988,212139.649586,138292.931219
2030,232905.128766,211608.768472,137762.050105
2031,232374.247652,211077.887358,137231.168991
2032,231843.366538,210547.006244,136700.287877
2033,231236.645264,209940.284971,136093.566603
2034,230705.76415,209409.403857,135562.685489
2035,230099.042877,208802.682584,134955.964216
2036,229492.321604,208195.96131,134349.242943
2037,228885.600331,,133742.52167
2038,228278.879057,,133135.800396
