year,annotation,consumption,consumption residential,consumption non-residential
2003,,480132.0,140520.0,339612.0
2004,,456706.0,137916.0,318790.0
2005,,456437.0,155143.0,301294.0
2006,,411362.0,148843.0,262519.0
2007,,393320.0,145741.0,247579.0
2008,,393154.0,141483.0,251671.0
2009,,424935.0,154985.0,269950.0
2010,,436425.0,151944.0,284481.0
2011,,446569.0,138184.0,308385.0
2012,,520652.0,173641.0,347011.0
2013,,426682.0,144355.0,282327.0
2014,,111673.0,39017.0,72656.0
2015,start of forecast,371511.0,137513.0,233998.0
2016,,371724.0,137726.0,233998.0
2017,,371935.0,137937.0,233998.0
2018,,372150.0,138152.0,233998.0
2019,,372373.0,138375.0,233998.0
2020,,372591.0,138593.0,233998.0
2021,,372796.0,138798.0,233998.0
2022,,372994.0,138996.0,233998.0
2023,,373180.0,139182.0,233998.0
2024,,373364.0,139366.0,233998.0
2025,,373537.0,139539.0,233998.0
2026,,373701.0,139703.0,233998.0
2027,,373845.0,139847.0,233998.0
2028,,373971.0,139973.0,233998.0
2029,,374139.0,140141.0,233998.0
2030,,374277.0,140279.0,233998.0
2031,,374381.0,140383.0,233998.0
2032,,374419.0,140421.0,233998.0
2033,,374425.0,140427.0,233998.0
2034,,374415.0,140417.0,233998.0
2035,,374395.0,140397.0,233998.0
2036,,374381.0,140383.0,233998.0
2037,,374367.0,140369.0,233998.0
2038,,374328.0,140330.0,233998.0
2039,,374247.0,140249.0,233998.0
2040,,374134.0,140136.0,233998.0
